Input,Output,Hidden,Target_p,H,p,FtBin,Parse,Iamb,FootNonfin,Nonfin_ft,WordFootRight,WordFootLeft,AllFeetRight,AllFeetLeft,MainRight,MainLeft,WSP_ft
,,,,,,1.09,0.0,3.39,0.0,0.0,3.26,0.0,8.68,0.0,7.16,0.0,1.0
[L L],[L L1],[(L L1)],1.0,0.0,0.73,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[L L],[L L1],[L (L1)],1.0,-1.09,-0.48,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L],[L1 L],[(L1 L)],0.0,-3.39,-0.71,0.0,0.0,-3.39,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[L L],[L2 L1],[(L2) (L1)],0.0,-10.86,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-8.68,-0.0,0.0,-0.0,0.0
[L L],[L1 L2],[(L1) (L2)],0.0,-18.03,-0.73,-2.18,0.0,0.0,-0.0,-0.0,0.0,0.0,-8.68,-0.0,-7.16,0.0,0.0
[L L],[L1 L],[(L1) L],0.0,-20.19,-0.73,-1.09,-0.0,0.0,-0.0,0.0,-3.26,0.0,-8.68,0.0,-7.16,0.0,0.0
[L L L],[L L L1],[L (L L1)],1.0,0.0,0.73,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L],[L L L1],[L L (L1)],1.0,-1.09,-0.48,-1.09,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L],[L L1 L],[L (L1 L)],0.0,-3.39,-0.71,0.0,-0.0,-3.39,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
[L L L],[L2 L1 L],[(L2) (L1 L)],0.0,-21.84,-0.73,-1.09,0.0,-3.39,-0.0,-0.0,0.0,0.0,-17.36,-0.0,0.0,-0.0,0.0
[L L L],[L1 L2 L2],[(L1) (L2) (L2)],0.0,-43.64,-0.73,-3.27,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.04,-0.0,-14.33,0.0,0.0
